Ensembl Gene ID	Ensembl Transcript ID	Chromosome Name	Gene Start (bp)	Associated Gene Name	Transcript Start (bp)	Transcript End (bp)	Gene End (bp)
ENSGACG00000000026	ENSGACT00000000036	scaffold_1045	508		937	2074	2074
ENSGACG00000000027	ENSGACT00000000037	scaffold_89	278309	mcm2	278309	283349	290469
ENSGACG00000000027	ENSGACT00000000038	scaffold_89	278309	mcm2	278311	281416	290469
ENSGACG00000000027	ENSGACT00000000039	scaffold_89	278309	mcm2	283325	290469	290469
ENSGACG00000000027	ENSGACT00000000041	scaffold_89	278309	mcm2	283825	290468	290469
ENSGACG00000000028	ENSGACT00000000040	scaffold_204	11092	zbtb44	11092	16536	16536
ENSGACG00000000029	ENSGACT00000000043	scaffold_204	21661	ADAMTS8	21661	31577	31577
ENSGACG00000000030	ENSGACT00000000042	scaffold_89	290874		290874	293988	293988
ENSGACG00000000031	ENSGACT00000000044	scaffold_89	295507	PODXL2	295507	297543	297543
ENSGACG00000000032	ENSGACT00000000045	scaffold_204	32607	ADAMTS15 (1 of 2)	32607	41910	41910
ENSGACG00000000033	ENSGACT00000000046	scaffold_89	300478	blcap	300478	300741	300741
ENSGACG00000000034	ENSGACT00000000047	scaffold_204	70063	SNX19 (1 of 2)	70063	82613	82613
ENSGACG00000000035	ENSGACT00000000048	scaffold_89	303375	FAM65C	303375	312722	312722
ENSGACG00000000036	ENSGACT00000000049	scaffold_204	85331	IL4I1 (1 of 2)	85331	88591	88591
ENSGACG00000000037	ENSGACT00000000051	scaffold_89	332626	CHD6	332626	365722	365722
ENSGACG00000000038	ENSGACT00000000050	scaffold_204	90194	timm8b	90194	90909	90909
ENSGACG00000000039	ENSGACT00000000054	scaffold_89	404287	ptprt	404287	512825	512825
ENSGACG00000000040	ENSGACT00000000052	scaffold_1179	3085	TRIM35 (2 of 28)	3085	4649	4732
ENSGACG00000000040	ENSGACT00000000053	scaffold_1179	3085	TRIM35 (2 of 28)	3510	4732	4732
ENSGACG00000000041	ENSGACT00000000055	scaffold_308	51317	si:ch211-114l13.9 (1 of 22)	51317	53981	53981
ENSGACG00000000042	ENSGACT00000000056	scaffold_955	4425		4425	5512	5530
ENSGACG00000000042	ENSGACT00000000057	scaffold_955	4425		4558	5530	5530
ENSGACG00000000043	ENSGACT00000000058	scaffold_243	52196	fam189a2	52196	56107	56107
ENSGACG00000000045	ENSGACT00000000060	scaffold_788	7788	TRIM14 (2 of 77)	7788	8312	8312
ENSGACG00000000046	ENSGACT00000000061	scaffold_1090	430	TRIM35 (3 of 28)	430	2110	2110
ENSGACG00000000047	ENSGACT00000000062	scaffold_757	3578	C1QTNF6 (1 of 2)	3578	5158	5158
ENSGACG00000000048	ENSGACT00000000063	scaffold_757	6140		6140	6811	6811
ENSGACG00000000049	ENSGACT00000000064	scaffold_520	3363	rasgef1ba	3363	14730	14763
ENSGACG00000000049	ENSGACT00000000065	scaffold_520	3363	rasgef1ba	8574	14763	14763
ENSGACG00000000050	ENSGACT00000000066	scaffold_755	7415		7415	8365	8755
ENSGACG00000000050	ENSGACT00000000067	scaffold_755	7415		7636	8755	8755
ENSGACG00000000051	ENSGACT00000000068	scaffold_663	9535		9535	10654	10878
ENSGACG00000000051	ENSGACT00000000069	scaffold_663	9535		9907	10878	10878
ENSGACG00000000052	ENSGACT00000000070	scaffold_1224	689		689	1661	1661
ENSGACG00000000053	ENSGACT00000000072	scaffold_570	3894		3894	4862	4862
ENSGACG00000000054	ENSGACT00000000071	scaffold_1601	626	TRIM14 (3 of 77)	626	1153	1153
ENSGACG00000000055	ENSGACT00000000073	scaffold_836	5712		5712	6684	6684
ENSGACG00000000056	ENSGACT00000000074	scaffold_1180	356		356	4130	4130
ENSGACG00000000057	ENSGACT00000000075	scaffold_422	7678	zgc:65997	7678	9186	9186
ENSGACG00000000058	ENSGACT00000000076	scaffold_99	6773		6773	8856	8856
ENSGACG00000000059	ENSGACT00000000077	scaffold_99	14396	syn2a	14396	22569	22569
ENSGACG00000000060	ENSGACT00000000078	scaffold_99	29930	raf1a	29930	39298	39298
ENSGACG00000000061	ENSGACT00000000079	scaffold_99	41586	cnbpa	41586	44820	45310
ENSGACG00000000061	ENSGACT00000000080	scaffold_99	41586	cnbpa	43745	45310	45310
ENSGACG00000000062	ENSGACT00000000081	scaffold_99	46014	zgc:77375	46014	49113	49113
ENSGACG00000000063	ENSGACT00000000082	scaffold_99	60463		60463	72490	72490
ENSGACG00000000064	ENSGACT00000000083	scaffold_99	120823	nup210	120823	140801	140801
ENSGACG00000000065	ENSGACT00000000084	scaffold_99	147646	FBLN2 (1 of 2)	147646	165013	165013
ENSGACG00000000066	ENSGACT00000000085	scaffold_99	170102		170102	171857	171857
ENSGACG00000000067	ENSGACT00000000088	scaffold_58	73156	thsd7a	73156	133895	133895
ENSGACG00000000068	ENSGACT00000000086	scaffold_99	187992		187992	191508	191508
ENSGACG00000000069	ENSGACT00000000087	scaffold_99	192111	FBXW12	192111	195048	195048
ENSGACG00000000070	ENSGACT00000000091	scaffold_99	194118	PTPDC1 (1 of 4)	194118	198622	198622
ENSGACG00000000071	ENSGACT00000000089	scaffold_58	178704	nxph1	178704	180428	180428
ENSGACG00000000075	ENSGACT00000000094	scaffold_99	201535	BICD2 (1 of 2)	201535	229070	229070
ENSGACG00000000076	ENSGACT00000000093	scaffold_95	88545		88545	89367	89367
ENSGACG00000000077	ENSGACT00000000095	scaffold_95	93513		93513	94037	94037
ENSGACG00000000078	ENSGACT00000000104	scaffold_95	170528	abcd3b	170528	194903	194903
ENSGACG00000000078	ENSGACT00000000106	scaffold_95	170528	abcd3b	170536	194903	194903
ENSGACG00000000079	ENSGACT00000000098	scaffold_99	263423	FGD3	263423	274542	274542
ENSGACG00000000080	ENSGACT00000000100	scaffold_58	478181	glcci1	478181	489125	489125
ENSGACG00000000081	ENSGACT00000000099	scaffold_99	284369	SUSD3	284369	287918	287918
ENSGACG00000000082	ENSGACT00000000101	scaffold_99	287948		287948	288912	288912
ENSGACG00000000083	ENSGACT00000000102	scaffold_58	493138	si:dkey-119m17.2	493138	497886	497886
ENSGACG00000000084	ENSGACT00000000105	scaffold_99	302816	WNK2 (1 of 2)	302816	334997	334997
ENSGACG00000000085	ENSGACT00000000103	scaffold_58	498185	rpa3	498185	499671	499671
ENSGACG00000000085	ENSGACT00000000107	scaffold_58	498185	rpa3	498186	499635	499671
ENSGACG00000000086	ENSGACT00000000108	scaffold_99	339701	BRPF1	339701	347704	347704
ENSGACG00000000087	ENSGACT00000000115	scaffold_95	201022	f3a	201022	206932	206943
ENSGACG00000000087	ENSGACT00000000118	scaffold_95	201022	f3a	201052	205258	206943
ENSGACG00000000087	ENSGACT00000000119	scaffold_95	201022	f3a	201053	205477	206943
ENSGACG00000000087	ENSGACT00000000122	scaffold_95	201022	f3a	203562	206943	206943
ENSGACG00000000088	ENSGACT00000000111	scaffold_58	510328	col28a1	510328	533032	533032
ENSGACG00000000089	ENSGACT00000000109	scaffold_99	352870		352870	354051	354051
ENSGACG00000000090	ENSGACT00000000110	scaffold_99	366155	CRELD1 (1 of 2)	366155	369149	369149
ENSGACG00000000091	ENSGACT00000000112	scaffold_58	534762	C1GALT1	534762	541524	541524
ENSGACG00000000092	ENSGACT00000000113	scaffold_58	551253	acn9	551253	556074	556074
ENSGACG00000000093	ENSGACT00000000114	scaffold_58	590630	tac1	590630	595294	595294
ENSGACG00000000094	ENSGACT00000000117	scaffold_58	597532	asns	597532	604158	604158
ENSGACG00000000095	ENSGACT00000000116	scaffold_527	10528		10528	11476	11476
ENSGACG00000000096	ENSGACT00000000121	scaffold_58	629374	rxrba	629374	641683	641683
ENSGACG00000000096	ENSGACT00000000123	scaffold_58	629374	rxrba	629687	641683	641683
ENSGACG00000000096	ENSGACT00000000124	scaffold_58	629374	rxrba	630873	641683	641683
ENSGACG00000000097	ENSGACT00000000120	scaffold_379	493	TRIM14 (4 of 77)	493	1011	1011
ENSGACG00000000098	ENSGACT00000000125	scaffold_95	226501	cnn3a	226501	228180	228180
ENSGACG00000000099	ENSGACT00000000126	scaffold_58	671489	col11a2	671489	700824	700824
ENSGACG00000000100	ENSGACT00000000127	scaffold_95	241853	STEAP2	241853	247499	247499
ENSGACG00000000101	ENSGACT00000000128	scaffold_165	50091	epha4a	50091	87994	87994
ENSGACG00000000102	ENSGACT00000000129	scaffold_95	249204	mos	249204	250701	250701
ENSGACG00000000103	ENSGACT00000000131	scaffold_58	706703	brd2a	706703	713823	713823
ENSGACG00000000103	ENSGACT00000000133	scaffold_58	706703	brd2a	707973	713818	713823
ENSGACG00000000104	ENSGACT00000000130	scaffold_95	266163	chchd7	266163	268157	268157
ENSGACG00000000105	ENSGACT00000000134	scaffold_95	294085	arhgef4	294085	312536	312536
ENSGACG00000000105	ENSGACT00000000136	scaffold_95	294085	arhgef4	296766	312536	312536
ENSGACG00000000106	ENSGACT00000000132	scaffold_343	1721		1721	8402	8402
ENSGACG00000000107	ENSGACT00000000135	scaffold_58	768224	psmb9a (1 of 5)	768224	770775	771333
ENSGACG00000000107	ENSGACT00000000137	scaffold_58	768224	psmb9a (1 of 5)	768433	771333	771333
ENSGACG00000000108	ENSGACT00000000139	scaffold_95	345190	palmdb	345190	356313	356313
ENSGACG00000000109	ENSGACT00000000138	scaffold_692	4691	ASTL (1 of 11)	4691	5491	5491
ENSGACG00000000110	ENSGACT00000000140	scaffold_58	772473	psmb11 (1 of 5)	772473	774465	774465
ENSGACG00000000111	ENSGACT00000000149	scaffold_95	388665	CUBN	388665	426113	426113
ENSGACG00000000112	ENSGACT00000000141	scaffold_58	774564	psmb10 (1 of 6)	774564	776603	776603
ENSGACG00000000113	ENSGACT00000000146	scaffold_58	777988	psmb8 (1 of 10)	777988	781360	781360
ENSGACG00000000114	ENSGACT00000000142	scaffold_478	1593	MYO18B (1 of 2)	1593	2797	6978
ENSGACG00000000114	ENSGACT00000000143	scaffold_478	1593	MYO18B (1 of 2)	2268	6978	6978
ENSGACG00000000115	ENSGACT00000000144	scaffold_478	7905	MYO18B (2 of 2)	7905	11415	15001
ENSGACG00000000115	ENSGACT00000000145	scaffold_478	7905	MYO18B (2 of 2)	10104	12110	15001
ENSGACG00000000115	ENSGACT00000000147	scaffold_478	7905	MYO18B (2 of 2)	12048	15001	15001
ENSGACG00000000116	ENSGACT00000000148	scaffold_58	785995		785995	791571	791571
ENSGACG00000000117	ENSGACT00000000150	scaffold_58	798774	TAPBP (1 of 7)	798774	802182	802182
ENSGACG00000000118	ENSGACT00000000152	scaffold_58	811897	psmb8 (2 of 10)	811897	820303	820303
ENSGACG00000000119	ENSGACT00000000151	scaffold_740	2446	si:ch73-379f7.4	2446	3108	3108
ENSGACG00000000120	ENSGACT00000000154	scaffold_95	477056		477056	478155	478173
ENSGACG00000000120	ENSGACT00000000157	scaffold_95	477056		477201	478173	478173
ENSGACG00000000121	ENSGACT00000000153	scaffold_740	3829	lgals2b	3829	5120	5120
ENSGACG00000000122	ENSGACT00000000155	scaffold_58	822855	si:dkey-18j14.5	822855	901870	954473
ENSGACG00000000122	ENSGACT00000000156	scaffold_58	822855	si:dkey-18j14.5	822855	877759	954473
ENSGACG00000000122	ENSGACT00000000159	scaffold_58	822855	si:dkey-18j14.5	866616	952682	954473
ENSGACG00000000122	ENSGACT00000000160	scaffold_58	822855	si:dkey-18j14.5	876215	876391	954473
ENSGACG00000000122	ENSGACT00000000161	scaffold_58	822855	si:dkey-18j14.5	895150	901849	954473
ENSGACG00000000122	ENSGACT00000000162	scaffold_58	822855	si:dkey-18j14.5	949938	954473	954473
ENSGACG00000000122	ENSGACT00000000163	scaffold_58	822855	si:dkey-18j14.5	950512	954374	954473
ENSGACG00000000122	ENSGACT00000000164	scaffold_58	822855	si:dkey-18j14.5	952506	952682	954473
ENSGACG00000000123	ENSGACT00000000158	scaffold_740	7379	gtpbp1l	7379	9953	9953
ENSGACG00000000124	ENSGACT00000000165	scaffold_854	2312		2312	5227	5227
ENSGACG00000000125	ENSGACT00000000166	scaffold_58	839899	TAPBP (2 of 7)	839899	841410	841410
ENSGACG00000000126	ENSGACT00000000167	scaffold_1486	962		962	3774	3774
ENSGACG00000000127	ENSGACT00000000168	scaffold_58	860134	psmb8 (3 of 10)	860134	862914	862914
ENSGACG00000000128	ENSGACT00000000169	scaffold_58	924957	abcb3l1 (1 of 3)	924957	929598	929598
ENSGACG00000000129	ENSGACT00000000170	scaffold_58	930596	psmb9a (2 of 5)	930596	932523	932523
ENSGACG00000000130	ENSGACT00000000171	scaffold_58	934200	psmb11 (2 of 5)	934200	938608	938608
ENSGACG00000000131	ENSGACT00000000172	scaffold_58	938707	psmb10 (2 of 6)	938707	941228	941228
ENSGACG00000000132	ENSGACT00000000173	scaffold_1117	761		761	1733	2105
ENSGACG00000000132	ENSGACT00000000174	scaffold_1117	761		985	2105	2105
ENSGACG00000000133	ENSGACT00000000175	scaffold_58	942631	psmb8 (4 of 10)	942631	946090	946090
ENSGACG00000000134	ENSGACT00000000176	scaffold_58	956028	TAPBP (3 of 7)	956028	959311	959311
ENSGACG00000000135	ENSGACT00000000178	scaffold_58	975270	abcb3l1 (2 of 3)	975270	979846	979846
ENSGACG00000000136	ENSGACT00000000177	scaffold_791	3064		3064	4024	4169
ENSGACG00000000136	ENSGACT00000000179	scaffold_791	3064		3082	4169	4169
ENSGACG00000000137	ENSGACT00000000180	scaffold_58	980864	psmb9a (3 of 5)	980864	982668	982668
ENSGACG00000000138	ENSGACT00000000181	scaffold_58	983670	psmb11 (3 of 5)	983670	986738	986738
ENSGACG00000000139	ENSGACT00000000182	scaffold_58	986837	psmb10 (3 of 6)	986837	989442	989442
ENSGACG00000000140	ENSGACT00000000183	scaffold_58	990750	psmb8 (5 of 10)	990750	994173	994173
ENSGACG00000000141	ENSGACT00000000184	scaffold_58	996326		996326	1001749	1001749
ENSGACG00000000141	ENSGACT00000000185	scaffold_58	996326		998736	999941	1001749
ENSGACG00000000141	ENSGACT00000000186	scaffold_58	996326		999765	999941	1001749
ENSGACG00000000142	ENSGACT00000000187	scaffold_58	1011640	abcb3l1 (3 of 3)	1011640	1017249	1017249
ENSGACG00000000143	ENSGACT00000000188	scaffold_58	1018108	psmb9a (4 of 5)	1018108	1020325	1020325
ENSGACG00000000144	ENSGACT00000000189	scaffold_58	1021875	psmb11 (4 of 5)	1021875	1023866	1023866
ENSGACG00000000145	ENSGACT00000000190	scaffold_58	1023965	psmb10 (4 of 6)	1023965	1026568	1026568
ENSGACG00000000146	ENSGACT00000000191	scaffold_58	1027397	psmb8 (6 of 10)	1027397	1030751	1030751
ENSGACG00000000147	ENSGACT00000000192	scaffold_58	1063341	psmb9a (5 of 5)	1063341	1065352	1065352
ENSGACG00000000148	ENSGACT00000000193	scaffold_58	1066513	psmb11 (5 of 5)	1066513	1069319	1069319
ENSGACG00000000148	ENSGACT00000000194	scaffold_58	1066513	psmb11 (5 of 5)	1066521	1069312	1069319
ENSGACG00000000149	ENSGACT00000000195	scaffold_58	1069418	psmb10 (5 of 6)	1069418	1072022	1072022
ENSGACG00000000150	ENSGACT00000000196	scaffold_58	1073337	psmb8 (7 of 10)	1073337	1076735	1076735
ENSGACG00000000151	ENSGACT00000000197	scaffold_58	1078466		1078466	1083197	1084416
ENSGACG00000000151	ENSGACT00000000198	scaffold_58	1078466		1079277	1084416	1084416
ENSGACG00000000151	ENSGACT00000000199	scaffold_58	1078466		1081426	1082692	1084416
ENSGACG00000000151	ENSGACT00000000200	scaffold_58	1078466		1082513	1082692	1084416
ENSGACG00000000151	ENSGACT00000000201	scaffold_58	1078466		1082513	1082689	1084416
ENSGACG00000000152	ENSGACT00000000202	scaffold_58	1086249	TAPBP (4 of 7)	1086249	1089135	1089135
ENSGACG00000000153	ENSGACT00000000203	scaffold_582	10624		10624	11615	11615
ENSGACG00000000154	ENSGACT00000000204	scaffold_1455	298		298	2233	2233
ENSGACG00000000155	ENSGACT00000000205	scaffold_251	15265	C3 (1 of 7)	15265	34678	34678
ENSGACG00000000155	ENSGACT00000000206	scaffold_251	15265	C3 (1 of 7)	17639	34678	34678
ENSGACG00000000156	ENSGACT00000000207	scaffold_155	11645		11645	143450	151082
ENSGACG00000000156	ENSGACT00000000208	scaffold_155	11645		11669	151063	151082
ENSGACG00000000156	ENSGACT00000000209	scaffold_155	11645		142806	151082	151082
ENSGACG00000000157	ENSGACT00000000210	scaffold_155	78577		78577	79442	79442
ENSGACG00000000158	ENSGACT00000000211	scaffold_155	121019		121019	122181	122181
ENSGACG00000000159	ENSGACT00000000212	scaffold_216	22320	abch1	22320	32341	32341
ENSGACG00000000160	ENSGACT00000000213	scaffold_216	36332	lgalslb	36332	40068	40068
ENSGACG00000000161	ENSGACT00000000214	scaffold_216	43669		43669	45733	45733
ENSGACG00000000162	ENSGACT00000000215	scaffold_216	55071		55071	61253	61253
ENSGACG00000000163	ENSGACT00000000216	scaffold_216	66245	spred2b	66245	70541	70541
ENSGACG00000000163	ENSGACT00000000217	scaffold_216	66245	spred2b	66245	70526	70541
ENSGACG00000000164	ENSGACT00000000218	scaffold_324	1453	TXNDC15	1453	5069	5069
ENSGACG00000000165	ENSGACT00000000219	scaffold_324	8660	C5orf24 (1 of 2)	8660	10384	10384
ENSGACG00000000167	ENSGACT00000000221	scaffold_324	20188	camlg	20188	21087	21087
ENSGACG00000000168	ENSGACT00000000222	scaffold_324	21334		21334	22058	22058
ENSGACG00000000169	ENSGACT00000000223	scaffold_429	1672	TRIM14 (5 of 77)	1672	2145	2145
ENSGACG00000000170	ENSGACT00000000224	scaffold_1143	322		322	846	846
ENSGACG00000000171	ENSGACT00000000225	scaffold_1446	2168	hira (1 of 5)	2168	3544	3544
ENSGACG00000000172	ENSGACT00000000226	scaffold_230	6653		6653	13853	13853
ENSGACG00000000173	ENSGACT00000000227	scaffold_230	44889		44889	45669	45669
ENSGACG00000000174	ENSGACT00000000228	scaffold_965	96		96	827	827
ENSGACG00000000175	ENSGACT00000000229	scaffold_965	6100	TRIM14 (6 of 77)	6100	6642	6642
ENSGACG00000000176	ENSGACT00000000230	scaffold_944	622	STMN4	622	3895	3895
ENSGACG00000000178	ENSGACT00000000232	scaffold_1132	1712	fgf5	1712	6048	6048
ENSGACG00000000179	ENSGACT00000000233	scaffold_465	5200		5200	6661	6661
ENSGACG00000000179	ENSGACT00000000234	scaffold_465	5200		5572	6544	6661
ENSGACG00000000180	ENSGACT00000000235	scaffold_811	3725	TRIM14 (7 of 77)	3725	4249	4249
ENSGACG00000000181	ENSGACT00000000236	scaffold_875	7277		7277	8250	8250
ENSGACG00000000182	ENSGACT00000000237	scaffold_1044	830	prpf38a (1 of 2)	830	3006	3006
ENSGACG00000000183	ENSGACT00000000238	scaffold_1044	3898		3898	5449	5449
ENSGACG00000000184	ENSGACT00000000239	scaffold_568	10754		10754	11841	11841
ENSGACG00000000185	ENSGACT00000000240	scaffold_713	7519	casq1b	7519	10179	10179
ENSGACG00000000186	ENSGACT00000000241	scaffold_1115	991	pcid2 (1 of 2)	991	3231	3231
ENSGACG00000000187	ENSGACT00000000242	scaffold_268	12981		12981	13712	13712
ENSGACG00000000188	ENSGACT00000000243	scaffold_1318	4364		4364	5126	5126
ENSGACG00000000188	ENSGACT00000000244	scaffold_1318	4364		4382	5126	5126
ENSGACG00000000189	ENSGACT00000000245	scaffold_195	25481		25481	27263	27263
ENSGACG00000000190	ENSGACT00000000246	scaffold_374	2438		2438	3372	3372
ENSGACG00000000191	ENSGACT00000000247	scaffold_195	31701		31701	32788	33255
ENSGACG00000000191	ENSGACT00000000248	scaffold_195	31701		32411	33255	33255
ENSGACG00000000192	ENSGACT00000000250	scaffold_195	33996		33996	34919	34919
ENSGACG00000000193	ENSGACT00000000249	scaffold_198	54786		54786	56486	56486
ENSGACG00000000194	ENSGACT00000000251	scaffold_198	75485		75485	76330	76330
ENSGACG00000000195	ENSGACT00000000254	scaffold_195	35980	kcnd3 (1 of 2)	35980	89594	89594
ENSGACG00000000196	ENSGACT00000000252	scaffold_198	105653	STX10	105653	108706	108706
ENSGACG00000000197	ENSGACT00000000253	scaffold_1351	2306		2306	3503	3503
ENSGACG00000000198	ENSGACT00000000258	scaffold_195	135870	atp6ap1a	135870	141658	141658
ENSGACG00000000198	ENSGACT00000000262	scaffold_195	135870	atp6ap1a	135870	141650	141658
ENSGACG00000000199	ENSGACT00000000255	scaffold_510	2910		2910	4677	4677
ENSGACG00000000200	ENSGACT00000000256	scaffold_510	7163		7163	8321	8321
ENSGACG00000000201	ENSGACT00000000257	scaffold_245	47371		47371	48469	48487
ENSGACG00000000201	ENSGACT00000000259	scaffold_245	47371		47516	48487	48487
ENSGACG00000000202	ENSGACT00000000260	scaffold_245	58969		58969	59950	59950
ENSGACG00000000203	ENSGACT00000000261	scaffold_1078	6538		6538	7086	7086
ENSGACG00000000204	ENSGACT00000000264	scaffold_195	143100	taz	143100	146514	146514
ENSGACG00000000205	ENSGACT00000000263	scaffold_695	9688		9688	10335	10335
ENSGACG00000000206	ENSGACT00000000266	scaffold_175	865		865	24337	24337
ENSGACG00000000206	ENSGACT00000000267	scaffold_175	865		886	24337	24337
ENSGACG00000000207	ENSGACT00000000265	scaffold_1092	763	st14b (1 of 2)	763	3988	3988
ENSGACG00000000208	ENSGACT00000000269	scaffold_459	10292		10292	13858	13858
ENSGACG00000000208	ENSGACT00000000272	scaffold_459	10292		11116	13845	13858
ENSGACG00000000209	ENSGACT00000000273	scaffold_175	62545	wu:fb16f03	62545	79671	79671
ENSGACG00000000210	ENSGACT00000000268	scaffold_336	4200		4200	5172	5277
ENSGACG00000000210	ENSGACT00000000270	scaffold_336	4200		4218	5277	5277
ENSGACG00000000211	ENSGACT00000000271	scaffold_333	8074		8074	8816	8816
ENSGACG00000000213	ENSGACT00000000274	scaffold_517	10906	esr2b	10906	11851	11851
ENSGACG00000000214	ENSGACT00000000277	scaffold_440	20	antxr2a	20	7272	7272
ENSGACG00000000215	ENSGACT00000000276	scaffold_588	4257		4257	5567	5585
ENSGACG00000000215	ENSGACT00000000278	scaffold_588	4257		4402	5585	5585
ENSGACG00000000216	ENSGACT00000000280	scaffold_524	7554	mrps5	7554	14144	14144
ENSGACG00000000217	ENSGACT00000000281	scaffold_686	7774		7774	8868	8868
ENSGACG00000000218	ENSGACT00000000282	scaffold_175	94508		94508	100981	100981
ENSGACG00000000218	ENSGACT00000000283	scaffold_175	94508		94508	100981	100981
ENSGACG00000000219	ENSGACT00000000289	scaffold_175	102404	serpine2	102404	107961	107961
ENSGACG00000000220	ENSGACT00000000284	scaffold_309	2632	DBX1 (1 of 2)	2632	3279	3329
ENSGACG00000000220	ENSGACT00000000286	scaffold_309	2632	DBX1 (1 of 2)	2728	3329	3329
ENSGACG00000000221	ENSGACT00000000285	scaffold_334	4839		4839	38343	38343
ENSGACG00000000222	ENSGACT00000000287	scaffold_1086	3287		3287	4536	4536
ENSGACG00000000223	ENSGACT00000000288	scaffold_1153	559	TRIM14 (8 of 77)	559	1711	1711
ENSGACG00000000224	ENSGACT00000000290	scaffold_1153	1713	ssr1 (1 of 13)	1713	4249	4249
ENSGACG00000000225	ENSGACT00000000293	scaffold_175	108518	wdfy1	108518	114929	114929
ENSGACG00000000226	ENSGACT00000000291	scaffold_238	683	NACC1 (1 of 2)	683	3157	3157
ENSGACG00000000227	ENSGACT00000000292	scaffold_238	10055	trmt1	10055	15913	15913
ENSGACG00000000228	ENSGACT00000000296	scaffold_238	16193	man2b1	16193	22758	22758
ENSGACG00000000229	ENSGACT00000000294	scaffold_363	1379	pargl (1 of 2)	1379	3571	3571
ENSGACG00000000230	ENSGACT00000000303	scaffold_175	116962	flj13639	116962	121624	121624
ENSGACG00000000230	ENSGACT00000000307	scaffold_175	116962	flj13639	118070	121523	121624
ENSGACG00000000231	ENSGACT00000000295	scaffold_363	6366	OGDH (1 of 2)	6366	16886	16886
ENSGACG00000000232	ENSGACT00000000297	scaffold_238	26753	mfng	26753	38885	38885
ENSGACG00000000233	ENSGACT00000000298	scaffold_114	17899	SULF2 (1 of 3)	17899	105837	105837
ENSGACG00000000233	ENSGACT00000000299	scaffold_114	17899	SULF2 (1 of 3)	17899	26275	105837
ENSGACG00000000233	ENSGACT00000000300	scaffold_114	17899	SULF2 (1 of 3)	26242	27930	105837
ENSGACG00000000234	ENSGACT00000000302	scaffold_114	27933	SULF2 (2 of 3)	27933	32258	32258
